,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
94,92,Royce Freeman,DEN,23,RB,16,0,50,43,86.0%,256,6.0,1,10,19,5.1,2.7,16.0,0
95,93,Alshon Jeffery,PHI,29,WR,10,10,73,43,58.9%,490,11.4,4,36,38,6.7,4.3,49.0,0
96,94,Albert Wilson,MIA,27,WR/wr,13,4,62,43,69.4%,351,8.2,1,22,35,5.7,3.3,27.0,0
97,95,Brandin Cooks,LAR,26,WR,14,14,72,42,58.3%,583,13.9,2,32,57,8.1,3.0,41.6,0
98,96,Melvin Gordon,LAC,26,RB,12,11,55,42,76.4%,296,7.0,1,11,25,5.4,3.5,24.7,4
99,97,JuJu Smith-Schuster,PIT,23,WR,12,12,70,42,60.0%,552,13.1,3,23,76,7.9,3.5,46.0,1
100,98,Chris Thompson,WAS,29,RB,11,0,58,42,72.4%,378,9.0,0,16,39,6.5,3.8,34.4,1
101,99,Tyrell Williams,OAK,27,WR,14,12,64,42,65.6%,651,15.5,6,33,46,10.2,3.0,46.5,0
102,100,Jacob Hollister,SEA,26,TE/te,11,3,59,41,69.5%,349,8.5,3,16,22,5.9,3.7,31.7,0
103,101,Zach Pascal,IND,25,WR,16,13,72,41,56.9%,607,14.8,5,29,37,8.4,2.6,37.9,0
104,102,Noah Fant,DEN,22,TE,16,11,66,40,60.6%,562,14.1,3,23,75,8.5,2.5,35.1,1
105,103,Kenny Stills,HOU,27,WR/wr,13,5,55,40,72.7%,561,14.0,4,27,45,10.2,3.1,43.2,0
106,104,Auden Tate,CIN,22,WR,12,10,80,40,50.0%,575,14.4,1,29,33,7.2,3.3,47.9,1
107,105,Nelson Agholor,PHI,26,WR,11,10,69,39,56.5%,363,9.3,3,17,43,5.3,3.5,33.0,2
108,106,Kyle Rudolph,MIN,30,TE,16,16,48,39,81.3%,367,9.4,6,24,32,7.6,2.4,22.9,0
109,107,Jamaal Williams,GNB,24,RB/rb,14,2,45,39,86.7%,253,6.5,5,16,17,5.6,2.8,18.1,0
110,108,Jimmy Graham,GNB,33,TE,16,10,60,38,63.3%,447,11.8,3,23,48,7.5,2.4,27.9,1
111,109,Vance McDonald,PIT,29,TE,14,14,55,38,69.1%,273,7.2,3,12,22,5.0,2.7,19.5,1
112,110,Chris Carson,SEA,25,RB,15,15,47,37,78.7%,266,7.2,2,10,21,5.7,2.5,17.7,7
113,111,Gerald Everett,LAR,25,TE/te,13,2,60,37,61.7%,408,11.0,2,22,33,6.8,2.8,31.4,0
114,112,Adam Humphries,TEN,26,WR/wr,12,3,47,37,78.7%,374,10.1,2,20,30,8.0,3.1,31.2,1
115,113,Kareem Hunt,CLE,24,RB/rb,8,3,44,37,84.1%,285,7.7,1,17,29,6.5,4.6,35.6,1
116,114,Jordan Akins,HOU,27,TE,16,9,55,36,65.5%,418,11.6,2,21,53,7.6,2.3,26.1,0
117,115,Cameron Brate,TAM,28,TE/te,16,6,55,36,65.5%,311,8.6,4,21,37,5.7,2.3,19.4,0
118,116,Nick Chubb,CLE,24,RB,16,16,49,36,73.5%,278,7.7,0,13,32,5.7,2.3,17.4,3
119,117,David Johnson,ARI,28,RB,13,9,47,36,76.6%,370,10.3,4,17,31,7.9,2.8,28.5,1
120,118,Breshad Perriman,TAM,26,WR/wr,14,4,69,36,52.2%,645,17.9,6,29,44,9.3,2.6,46.1,0
121,119,Jalen Richard,OAK,26,RB,16,0,43,36,83.7%,323,9.0,0,15,33,7.5,2.3,20.2,2
123,120,Irv Smith,MIN,21,TE/te,16,7,47,36,76.6%,311,8.6,2,17,29,6.6,2.3,19.4,1
124,121,Demaryius Thomas,NYJ,32,WR,11,10,58,36,62.1%,433,12.0,1,22,47,7.5,3.3,39.4,0
125,122,DeAndre Washington,OAK,26,RB/rb,16,3,41,36,87.8%,292,8.1,0,10,28,7.1,2.3,18.3,0
126,123,Allen Lazard,GNB,24,WR/wr,16,3,52,35,67.3%,477,13.6,3,24,43,9.2,2.2,29.8,0
127,124,Phillip Lindsay,DEN,25,RB,16,16,48,35,72.9%,196,5.6,0,9,36,4.1,2.2,12.3,0
128,125,Joe Mixon,CIN,23,RB,16,15,45,35,77.8%,287,8.2,3,14,33,6.4,2.2,17.9,0
